search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types
pole fitness studio,Teruel,2026-06-11 16:40:26.569062,ChIJ5eik8qVzXg0RrXqlCAU8kZI,URBAN DANCE TERRA,"C. Brasil, 3, 44002 Teruel, Spain",4.8,16.0,40.3305952,-1.1097678,OPERATIONAL,"establishment, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569067,ChIJYRFBJSRzXg0RZFcCxlZv3vU,Marta Dance Factory,"Av. Zaragoza, 11, 44003 Teruel, Spain",5.0,22.0,40.34528419999999,-1.1143416,OPERATIONAL,"establishment, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569072,ChIJc7SdiKwLag0RYtgMirweisE,Be Pole Toledo Estudio de Pole Dance en Toledo,"Centro comercial zoco Europa, C. Viena, 2, 45005 Toledo, Spain",5.0,20.0,39.8733357,-4.026669399999999,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569077,ChIJ93VJ3oVzXg0RwskRs3sMCZI,Gimnasio Free Time,"Carretera San Blas, Km. 1, 44195, Teruel, Spain",4.8,143.0,40.3530248,-1.1303325,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569082,ChIJva3mtKdzXg0ReDaqxhblLVQ,Global Sports Center,"C. Miguel Ibáñez, 6, 44003 Teruel, Spain",4.7,201.0,40.3466838,-1.1079187,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569089,ChIJAfNOaQmTlxIRDtLLW2uUUQA,Pole & Dance Mallorca,"Carrer Cala Llombards, 10, Llevant, 07009 Palma, Illes Balears, Spain",4.5,103.0,39.5998679,2.6791948,OPERATIONAL,"establishment, point_of_interest"
pole fitness studio,Teruel,2026-06-11 16:40:26.569097,ChIJqfwFNxctQg0RMwlxlklEgXo,Neverland Pole & Dance,"Av. de los Pirineos, 25, nave 5, 28703 San Sebastián de los Reyes, Madrid, Spain",4.9,121.0,40.5538544,-3.6102898,OPERATIONAL,"establishment, point_of_interest, school"
pole fitness studio,Teruel,2026-06-11 16:40:26.569103,ChIJA1lJBxFzXg0R0iUiShr0xPQ,NOVA Pilates,"C. Jaime I el Conquistador, 6, Bajo, 44002 Teruel, Spain",5.0,15.0,40.3316393,-1.0890355,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance,Las Palmas,2026-06-11 16:40:28.101585,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance,Las Palmas,2026-06-11 16:40:28.101597,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance,Las Palmas,2026-06-11 16:40:28.101603,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
pole dance studio,Las Palmas,2026-06-11 16:40:29.528630,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance studio,Las Palmas,2026-06-11 16:40:29.528643,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance studio,Las Palmas,2026-06-11 16:40:29.528650,ChIJW4qCzxSVQAwRkednUlA1MRM,Studio 4 Aereal Move,"C. Alemania, 4, 35006 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,20.0,28.1292787,-15.4314727,OPERATIONAL,"establishment, point_of_interest"
pole fitness,Las Palmas,2026-06-11 16:40:31.276952,ChIJ9RzjalaVQAwRfbosjt2dJco,FitFly Pole & Fitness,"C. Secretario Padilla, 172, 35010 Las Palmas de Gran Canaria, Las Palmas, Spain",5.0,18.0,28.129388,-15.4456773,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole fitness,Las Palmas,2026-06-11 16:40:31.276962,ChIJOa_fyXiVQAwRLRfr9hMGbeY,No limits Las Palmas Pole Studios,"C. Artemi Semidan, 47, 35009 Las Palmas de Gran Canaria, Las Palmas, Spain",4.9,64.0,28.1514046,-15.4259477,OPERATIONAL,"establishment, gym, health, point_of_interest"
