search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types,website,phone,horario,google_maps_url,lat_precisa,lng_precisa
pole dance studio,Cuenca,2026-06-11 16:31:42.628572,ChIJkwnBGABJYA0RJl0ozw-Ni2I,Pole dance studio Pink Heaven,"Carrer de la Guàrdia Civil, 7, Benimaclet, 46020 València, Valencia, Spain",4.7,53.0,39.4828221,-0.3594824,OPERATIONAL,"establishment, point_of_interest",https://poledanceheaven.es/,623 92 75 75,lunes: 9:00–21:00 | martes: 9:00–21:00 | miércoles: 9:00–21:00 | jueves: 9:00–21:00 | viernes: 9:00–21:00 | sábado: 9:00–18:00 | domingo: 9:00–18:00,https://maps.google.com/?cid=7100924336519273766,39.4828221,
pole dance studio,Cuenca,2026-06-11 16:31:42.628578,ChIJOwAS2S5nXQ0RckQ43pi5zO8,Ria pi ta centro de arte,"Travesia De Fernando Fernan Gomez, 10, bajo, 16004 Cuenca, Spain",5.0,8.0,40.0676597,-2.1356877,OPERATIONAL,"establishment, point_of_interest",,638 25 26 44,"lunes: 17:00–22:00 | martes: 17:00–22:00 | miércoles: 17:00–22:00 | jueves: 11:00–13:30, 17:00–22:00 | viernes: 20:00–2:00 | sábado: 20:00–2:00 | domingo: Cerrado",https://maps.google.com/?cid=17279389936528147570,40.0676597,
pole dance studio,Cuenca,2026-06-11 16:31:42.628584,ChIJ99t2yniYpBIRIV8zOsMZ1NQ,Pole Dance BCN,"Carrer de Rocafort, 250, Eixample, 08029 Barcelona, Spain",4.6,164.0,41.3868199,2.1435028,OPERATIONAL,"establishment, point_of_interest",http://www.poledancebcn.com/,636 21 38 70,,https://maps.google.com/?cid=15335910957389143841,41.3868199,
pole dance studio,Cuenca,2026-06-11 16:31:42.628590,ChIJaXsyyEFnXQ0RK7fW4zzAXpM,Estudio Superior de Danza Rosario Tosta,"C. Cristóbal Halffter, 7, 16004 Cuenca, Spain",4.5,8.0,40.0631216,-2.128248,OPERATIONAL,"establishment, point_of_interest",http://www.cuencadanza.es/,969 17 29 38,lunes: 8:30–21:30 | martes: 8:30–21:30 | miércoles: 8:30–21:30 | jueves: 8:30–21:30 | viernes: 8:30–21:30 | sábado: Cerrado | domingo: Cerrado,https://maps.google.com/?cid=10619136339139278635,40.0631216,
pole dance studio,Cuenca,2026-06-11 16:31:42.628596,ChIJVy8zPwIZzZERTdM6UpKIsIc,Ferdi Dance Studio,"Plaza del Otorongo, C. Gran Colombia 21-111, 010107 Cuenca, Ecuador",5.0,13.0,-2.8923485,-79.0176848,OPERATIONAL,"establishment, point_of_interest",https://www.facebook.com/ferdidancestudio,098 443 8540,"lunes: 9:00–20:20 | martes: 8:50–10:00, 14:00–20:15 | miércoles: 14:00–20:30 | jueves: 8:50–10:00, 14:00–20:20 | viernes: 8:50–10:00, 14:00–20:20 | sábado: 10:30–18:00 | domingo: Cerrado",https://maps.google.com/?cid=9777464953047536461,-2.8923485,
pole dance studio,Cuenca,2026-06-11 16:31:42.628607,ChIJgbL5PcoZzZERtGQzXInaicA,? Lab,"Pasaje Sojos y Víctor León Vivar 2-43, 010204 Cuenca, Ecuador",5.0,1.0,-2.9116181,-79.0002883,OPERATIONAL,"establishment, gym, health, point_of_interest",,099 644 6195,,https://maps.google.com/?cid=13873860410583770292,-2.9116181,
pole dance studio,Cuenca,2026-06-11 16:31:42.628614,ChIJEz6Fxm9nXQ0Rv8TqhFuT3ak,Academia de Danza Dolores Muñoz,"C. Maestro Pradas, 4, 16001 Cuenca, Spain",5.0,9.0,40.0735225,-2.1328211,OPERATIONAL,"establishment, point_of_interest",http://academiadanzadoloresmunoz.com/,969 69 16 13,,https://maps.google.com/?cid=12240101383544161471,40.0735225,
pole fitness,Cuenca,2026-06-11 16:31:44.130710,ChIJh_QCPtMjzZER8Mb3ssOs290,Auris Pole Dance Studio,"Calle del Batan, y y Española, 010202 Cuenca, Ecuador",5.0,36.0,-2.89693,-79.02059659999999,OPERATIONAL,"establishment, gym, health, point_of_interest",https://crosshero.site/auris-pole-dance-studio-2,098 452 1543,"lunes: 7:00–9:00, 15:00–21:00 | martes: 8:00–11:00, 15:30–21:00 | miércoles: 7:00–11:00, 16:00–21:00 | jueves: 8:00–12:00, 15:30–21:00 | viernes: 7:00–11:00, 17:00–20:00 | sábado: 9:00–12:00 | domingo: Cerrado",https://maps.google.com/?cid=15986561258802890480,-2.89693,
pole fitness,Cuenca,2026-06-11 16:31:44.130724,ChIJJX75AkJnXQ0RrpSAda9fG4s,Alegría y Javier - Danza y Pilates,"Pl. la Morquera, 3, 16004 Cuenca, Spain",5.0,52.0,40.06551,-2.13273,OPERATIONAL,"clothing_store, establishment, gym, health, point_of_interest, store",http://www.danzacuenca.com/,601 10 43 58,"lunes: 9:30–10:30, 16:00–22:00 | martes: 9:30–12:00, 16:00–22:00 | miércoles: 9:30–12:00, 16:00–22:00 | jueves: 9:30–11:30, 16:00–22:00 | viernes: 9:30–12:00, 16:00–20:00 | sábado: Cerrado | domingo: Cerrado",https://maps.google.com/?cid=10023710602838447278,40.06551,
pole fitness,Cuenca,2026-06-11 16:31:44.130732,ChIJFRuxKHgZzZERiwd4Jb-4e2Q,Samsara Pole & Yoga,"Fernandina 1-20, Cuenca, Ecuador",4.9,56.0,-2.8942449,-79.0216868,OPERATIONAL,"establishment, point_of_interest",,097 928 9700,lunes: 7:00–21:00 | martes: 7:00–21:00 | miércoles: 7:00–21:00 | jueves: 8:00–21:00 | viernes: 7:00–19:30 | sábado: 8:30–12:00 | domingo: Cerrado,https://maps.google.com/?cid=7240583957035091851,-2.8942449,
